From	To
A0A024RAS3	hCG_27698
Q6FHY5	MEOX2
Q8N3E9	PLCD3
M0R2A0	EMC10
Q9H490	PIGU
Q9NQ50	MRPL40
A0A1S5RA93	PNKP
Q6FHF7	RABGGTA
C0JYY2	APOB
Q9BU89	DOHH
Q9Y3L3	SH3BP1
Q96RN5	MED15
Q5JSH3	WDR44
Q8IUI8	CRLF3
I3L4A1	CHMP6
E9PR30	FAU
T2HKF7	coxI
A0A023T6R1	FLJ10292
B1ANH3	GUK1
A0A024RAW9	WBP11
Q9Y4D7	PLXND1
J3KQ41	COPS7B
A0A024R433	IGFBP5
A0A087WWM0	TRAPPC3
Q96ST2	IWS1
O95210	STBD1
P49407	ARRB1
Q93034	CUL5
Q96JP5	ZFP91
B2RDF2	PES1
Q8N1G2	CMTR1
P10589	NR2F1
Q96N11	C7orf26
Q9H2W6	MRPL46
Q9HBM0	VEZT
O14777	NDC80
A0A024R850	MRRF
Q9H0X4	FAM234A
Q6IB63	RABGGTB
A0A024R5E5	TCIRG1
Q13077	TRAF1
Q8NBQ5	HSD17B11
Q5T2E6	ARMH3
O43290	SART1
P23458	JAK1
Q9NQG1	MANBAL
Q0VAQ4	SMAGP
Q96DE0	NUDT16
Q9BV79	MECR
P27708	CAD
Q9Y6N1	COX11
Q9BZE4	GTPBP4
Q9H0A0	NAT10
Q5UIP0	RIF1
Q86WB0	ZC3HC1
O75665	OFD1
A6NHR9	SMCHD1
O75157	TSC22D2
Q9H008	LHPP
Q6P9B9	INTS5
Q8NE86	MCU
A0A024R0Z3	DDX23
Q14BN4	SLMAP
A0A1C7CYZ0	ABR
Q9H0L4	CSTF2T
Q08117	TLE5
Q96EY1	DNAJA3
Q13033	STRN3
P0DJ93	SMIM13
Q9H773	DCTPP1
B5MDU6	LDAH
D6RFG8	DCK
Q969U7	PSMG2
Q3MIP1	ITPRIPL2
Q14644	RASA3
P17568	NDUFB7
Q9BYI3	FAM126A
P07203	GPX1
Q8TBP6	SLC25A40
H0YF29	C8orf82
Q8N2K1	UBE2J2
X6R3N0	SLC27A3
A0A024R6H0	CPSF2
Q9H9J2	MRPL44
O43324	EEF1E1
Q6IN84	MRM1
P52747	ZNF143
Q643R3	LPCAT4
O75794	CDC123
Q86TB9	PATL1
O00178	GTPBP1
Q96K17	BTF3L4
Q9H1I8	ASCC2
K7EM18	EIF1
Q9P032	NDUFAF4
Q9UGM6	WARS2
A6NDU8	C5orf51
M0R1T5	CHMP2A
D3DSR7	BIN3
Q9Y4X5	ARIH1
Q9UNE7	STUB1
A1L471	ABCB1
Q9H2U1	DHX36
A0A024R0J1	PAK4
P78524	ST5
Q9NP77	SSU72
E5KRX5	SURF1
O43149	ZZEF1
Q99640	PKMYT1
Q13444	ADAM15
A0A096LP25	AAK1
O95140	MFN2
Q9BU02	THTPA
Q5HCI0	DKFZp686D0345
Q9Y5Q0	FADS3
Q9NS82	SLC7A10
O75880	SCO1
A0A096LNH6	DOCK1
A0A1C3MVT8	HLA-A
Q9NRD1	FBXO6
A0A0C4DG91	NME6
Q96R05	RBP7
Q9NTX5	ECHDC1
Q9HAT2	SIAE
Q5BJF2	TMEM97
Q9BW92	TARS2
Q92845	KIFAP3
Q9P291	ARMCX1
A0A1B0GTF3	HSPA12A
Q9BXW7	HDHD5
Q00013	MPP1
B5MD23	TSPAN9
Q86TU7	SETD3
J3KPH8	HDAC7
P20674	COX5A
Q8WUH6	TMEM263
A0A024RB62	METTL1
Q8NF91	SYNE1
V9HWF9	HEL20
A0A1W2PS27	MED17
Q99797	MIPEP
Q15057	ACAP2
E7EW20	MYO6
Q96J02	ITCH
Q8IY22	CMIP
Q6IAD8	SLC39A1
P62877	RBX1
A0A087WXL6	VPS11
J3QLS3	MRPS7
P10070	GLI2
Q9H6X2	ANTXR1
U4PSC4	MED4
O60271	SPAG9
P50613	CDK7
Q9H7C4	SYNC
Q7Z5R6	APBB1IP
A0A024RD47	NCOR1
Q9ULF5	SLC39A10
Q9P2C4	TMEM181
Q9UPZ3	HPS5
L8EC67	DGKK
Q8N6H7	ARFGAP2
Q9BYV8	CEP41
D3DW56	UBL7
E9PRZ1	SAAL1
A0JP11	PIK3R4
Q92508	PIEZO1
Q8N806	UBR7
Q9H6D7	HAUS4
Q9UBB5	MBD2
B1AP22	PSEN2
Q9NZ43	USE1
M1V485	SLC34A2-ROS1
A4D213	DKFZP586J0619
Q6UWP8	SBSN
A0A024R8D4	MRPS2
H0Y3L9	CBLB
D3DSW3	PROSC
Q7Z7A4	PXK
Q8TAD4	SLC30A5
Q9UKJ3	GPATCH8
P08069	IGF1R
Q9NPH0	ACP6
B7ZLQ5	SMARCA1
Q6VVX0	CYP2R1
I1W660	DKK1
O95059	RPP14
Q12983	BNIP3
A0A1B0GU24	TNRC6C
Q92889	ERCC4
Q00613	HSF1
Q8TCD5	NT5C
Q13257	MAD2L1
A0A059QXN6	COX1
B2RDJ6	CIAO1
H0Y886	NDUFB5
Q8NI22	MCFD2
O00194	RAB27B
Q9P2P6	STARD9
Q6GQQ9	OTUD7B
A0A0S2Z570	RXRB
M0QYZ2	AP2S1
Q9H013	ADAM19
Q5TF85	TENT5A
Q13884	SNTB1
P05230	FGF1
P51687	SUOX
O14802	POLR3A
O95825	CRYZL1
D3DV26	S100A10
Q15388	TOMM20
A8K3R2	BOP1
Q8IZU9	KIRREL3
A0A024R7X0	ARFGEF1
Q02252	ALDH6A1
Q8IVF7	FMNL3
Q9UBY0	SLC9A2
O75529	TAF5L
Q92917	GPKOW
Q53T99	WDR12
P41743	PRKCI
Q9H6K4	OPA3
P00813	ADA
A0JP10	ERCC6
Q5T0F9	CC2D1B
A0A2P9AVT8	BQ8482_60227
P49006	MARCKSL1
A0A2X0TW27	TIAM1
Q9HC36	MRM3
Q9BZA7	PCDH11X
Q5T0N1	CFAP70
Q9NZD2	GLTP
A0A2P9AJ76	BQ8482_180406
Q9GZR1	SENP6
P62273	RPS29
Q2TAA5	ALG11
Q16740	CLPP
Q5VYS4	MEDAG
A0A024R435	ZFAND2B
Q9HCS7	XAB2
E9PGV9	ABCG1
O75879	GATB
Q8IUR7	ARMC8
P60673	PFN3
Q8N4L2	PIP4P2
Q16513	PKN2
Q5CZH6	DKFZp686N0561
Q7RTS9	DYM
Q15858	SCN9A
Q9NP84	TNFRSF12A
A0A024R899	MNAB
A0A075B749	PDE4DIP
A0A024RBV4	MID1
Q8IUF8	RIOX2
Q9HD42	CHMP1A
Q9H0U9	TSPYL1
Q4ADV7	RIC1
A0A2P9AUJ8	BQ8482_530029
Q4G0N4	NADK2
J3KMZ8	DPF2
A0A024R0H1	SLC16A1
Q5TDF0	NTPCR
Q9Y4C2	TCAF1
B4E0T2	PEX5
A0A2P9A9L0	aroH
O95999	BCL10
A0A024R7R0	RAP80
Q16775	HAGH
A0A0S2Z5U8	DTNBP1
P32189	GK
O43818	RRP9
A0A2X0SF93	ARHGAP31
A0A2X0TVX1	DOCK6
P22670	RFX1
Q9BT67	NDFIP1
O43676	NDUFB3
Q9UJ41	RABGEF1
O43819	SCO2
O75832	PSMD10
Q8NGL6	OR4A15
Q5JPG5	DKFZp686I0613
D6RBR3	SPOP
Q9H0R4	HDHD2
P50336	PPOX
C9JF17	APOD
Q86UK0	ABCA12
P20248	CCNA2
Q9HBL7	PLGRKT
Q86W24	NLRP14
A0A024R3K2	RPUSD4
Q8WU66	TSPEAR
Q75KY0	TFEC
P30291	WEE1
G3V5N8	ZFYVE1
A0A024RB50	B4GALNT1
P13056	NR2C1
Q96HY7	DHTKD1
A0A2X0SSL3	FARP2
A0A2P9AN46	BQ8482_30035
Q7Z4V0	ZNF438
Q86XE3	MICU3
Q8NI08	NCOA7
P23471	PTPRZ1
Q9Y5W7	SNX14
D3DPW6	C1orf50
Q9C0B2	CFAP74
Q9Y6Y0	IVNS1ABP
Q5VWK5	IL23R
A0A024RB38	STAC3
O15061	SYNM
Q96B26	EXOSC8
Q9H4W6	EBF3
A0A024QZ60	C17orf63
Q8NI68	OK/SW-cl.87
A0A024R7Q3	HIGD2A
O15482	TEX28
O15482	TEX28P1
O15482	TEX28P2
Q9BT66	NELF
A0A087WVA1	SELENOT
A0A140T964	OR2J3
A0A024RC24	IMPACT
Q8N960	CEP120
O95071	UBR5
P62380	TBPL1
A0A1W2PPD8	KDM4F
Q9BYK8	HELZ2
Q12972	PPP1R8
Q8N2G6	ZCCHC24
Q53EZ4	CEP55
Q04844	CHRNE
E9PJI3	ST3GAL3
Q9UPM8	AP4E1
Q96Q15	SMG1
F5GXT3	ANO2
A6NKH3	RPL37AP8
Q92558	WASF1
Q12769	NUP160
A0A2P9ALI2	BQ8482_220167
Q9GZR7	DDX24
A6NGA9	TMEM202
P35568	IRS1
A0A2P9ACP7	BQ8482_110835
Q96C74	ROPN1L
Q5JWT2	MED23
Q6ZN16	MAP3K15
A0A087WXM3	NLRP5
O95711	LY86
Q8TE68	EPS8L1
A0A2P9AJ99	ilvE
Q9NPB8	GPCPD1
Q69YN2	CWF19L1
Q00888	PSG4
Q68DX5	DKFZp781H1715
O60885	BRD4
H7C5W0	DNAJB5
P35555	FBN1
A0A140TA86	MICOS13
A0A143FYI8	COX1
Q86Y97	KMT5C
Q15012	LAPTM4A
Q9NVH2	INTS7
Q08AK7	USP4
O14657	TOR1B
A0A2R8YGD3	RAPGEF2
A0A024R4E7	PEX11B
O00592	PODXL
P16662	UGT2B7
I1YAP6	TRIM77
A0A2P9AG14	cycZ
Q4G176	ACSF3
Q7Z6K3	PTAR1
Q8IY37	DHX37
Q8N4V2	SVOP
J3KNR0	MARK3
A0A2P9AM10	BQ8482_250061
V9HW48	HEL-S-115
Q49AJ4	AACS
A0A2P9AEZ1	BQ8482_111615
H3BST1	BLOC1S6
B9EIK1	OR1Q1
Q16650	TBR1
Q9NP94	SLC39A2
A4D0T8	GPR85
Q9NR77	PXMP2
Q96P20	NLRP3
Q8IY45	AMN1
A0A024RDN1	IFT88
A6QL64	ANKRD36
A6NK02	TRIM75P
A0A2P9AGB9	panD
X5D2P3	ELABELA
Q8IWR0	ZC3H7A
Q9UHJ3	SFMBT1
Q9NV88	INTS9
Q92832	NELL1
A0A1B0GW23	ABHD14A-ACY1
Q9Y6A5	TACC3
P56589	PEX3
Q6ZTI6	RFLNA
P0C091	FREM3
Q9C037	TRIM4
Q5VZ72	IZUMO3
Q8TEQ8	PIGO
Q9UBP0	SPAST
Q13478	IL18R1
S5GDT0	pol
L8ECP8	DHX57
Q9P212	PLCE1
A0A0U1RQC7	CFAP99
Q9GZN2	TGIF2
B4DYV8	ROBO4
Q15124	PGM5
M0QZD8	LOC400499
A0A2P9AH63	BQ8482_150045
P36941	LTBR
Q9NRL2	BAZ1A
Q8N5M1	ATPAF2
A0A2P9AE72	BQ8482_111343
A0A2P9APW3	BQ8482_340008
A0A2P9ADI0	BQ8482_111128
B8ZZ60	PGGHG
A5HC05	KRAS
Q8N309	LRRC43
Q7LGC8	CHST3
A0A087X0N3	NOL4L
A9J4F5	ZNF593
Q5T7B8	KIF24
P54278	PMS2
